,filename,modified,created,filetime,week,camera
0,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder1/RCNX0037.JPG,Sun May  8 16:00:00 2022,Fri Oct 21 08:33:14 2022,08-05-2022-16:00,19,cam25
1,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder2/RCNX0003.JPG,Wed May 18 22:00:00 2022,Fri Oct 21 08:43:32 2022,18-05-2022-22:00,20,cam25
2,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder2/RCNX0026.JPG,Thu May 26 04:00:00 2022,Fri Oct 21 08:37:26 2022,26-05-2022-04:00,21,cam25
3,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder2/RCNX0053.JPG,Sat Jun  4 04:00:00 2022,Fri Oct 21 08:33:10 2022,04-06-2022-04:00,22,cam25
4,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder2/RCNX0064.JPG,Wed Jun  8 01:00:00 2022,Fri Oct 21 08:41:35 2022,08-06-2022-01:00,23,cam25
5,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder3/RCNX0009.JPG,Fri Jun 17 07:00:00 2022,Fri Oct 21 08:56:59 2022,17-06-2022-07:00,24,cam25
6,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder3/RCNX0017.JPG,Sun Jun 19 13:00:00 2022,Fri Oct 21 08:30:59 2022,19-06-2022-13:00,25,cam25
7,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder3/RCNX0050.JPG,Thu Jun 30 13:00:00 2022,Fri Oct 21 08:43:36 2022,30-06-2022-13:00,26,cam25
8,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder3/RCNX0068.JPG,Wed Jul  6 13:00:00 2022,Fri Oct 21 08:51:18 2022,06-07-2022-13:00,27,cam25
9,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder3/RCNX0083.JPG,Mon Jul 11 13:00:00 2022,Fri Oct 21 08:51:18 2022,11-07-2022-13:00,28,cam25
10,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder3/RCNX0102.JPG,Mon Jul 18 07:00:00 2022,Fri Oct 21 08:39:43 2022,18-07-2022-07:00,29,cam25
11,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder3/RCNX0128.JPG,Tue Jul 26 13:00:00 2022,Fri Oct 21 08:39:43 2022,26-07-2022-13:00,30,cam25
12,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder4/RCNX0002.JPG,Thu Aug  4 07:00:00 2022,Fri Oct 21 08:26:12 2022,04-08-2022-07:00,31,cam25
13,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam25/cam25_folder4/RCNX0017.JPG,Tue Aug  9 07:00:00 2022,Fri Oct 21 08:26:17 2022,09-08-2022-07:00,32,cam25
