"","waypoint","site","camera","habitat","canopy_cov","elev_m","sui_top","sui_bottom","lon","lat","face_num","face_dir","camera angle","incline parallel","incline perpendicular","distance to quadrat_cm","deploy date","removal date","notes","aji_note","SpeciesNumber","FlowerNumber","Early","Late","AverageFlowering","SeasonLength","Achillea_millefolium","Alchemilla_conjuncta","Alchemilla_xanthochlora","Anthyllis_vulneraria","Bellis_perennis","Campanula_scheuchzeri","Carlina_acaulis","Crocus_albiflorus","Euphrasia_minima","Gentianella_sp","Helianthemum_nummularium","Hepatica_nobilis","Hippocrepis_comosa","Leontodon_hispidus","Lotus_alpinus","Lotus_sp","Pedicularis_verticillata","Plantago_lanceolata","Plantago_media","Potentilla_aurea","Primula_sp","Ranunculus_montanus","Salvia_pratensis","Silene_vulgaris","Soldanella_alpina","Taraxacum_officinale","Trifolium_badium","Trifolium_montanum","Trifolium_pratense","Trollius_europaeus","Viola_biflora","Viola_calcarata","Viola_sp"
"1",551,"cal","cam2","alpine","0",1999,756290,195000,9.48949,46.88773,345,"n",5,24,15,427,"27.04.2022","06.10.2022",NA,NA,12,463.05822816815,144.833333333333,187.416666666667,161.907607321808,42.5833333333333,21.5,9.30809782354307,68.5,49.5,45,64,0,103.750130344607,0,0,0,4,0,0,0,0,0,0,0,0,0,40,0,0,0,7,0,0,3,0,0,0,47.5
"2",552,"cal","cam9","alpine","0",1976,756290,195000,9.48949,46.88773,195,"s",-10,12,15,420,"27.04.2022","06.10.2022",NA,NA,10,392,153.3,181.7,169.069380730011,28.4,0,179.5,18,7,0,33.5,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,4,4,31,0,0,0,10.5
"3",553,"cal","cam13","alpine","0",1968,756290,195000,9.48949,46.88773,265,"w",4,10,0,290,"27.04.2022","06.10.2022",NA,NA,10,1194.68753258615,140.9,192.9,163.689228318103,52,7,69,272.687532586152,129.5,0,17,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,49.5,0,0,0,11,8,0,0,0,0,0,15
"4",549,"cal","cam18","alpine","0",1996,756290,195000,9.48949,46.88773,27,"ne",-10,0,0,543,"27.04.2022","06.10.2022",NA,NA,10,407.28446299977,162.8,192.6,178.276344941005,29.8,12,10,87,32.5,0,43,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,141.687532586152,0,0,0,9,0,0,0,0,0,0,59.096930413618
"5",547,"cal","cam21","alpine","0",1953,756280,194993,9.48936,46.88767,257,"w",0,0,0,415,"27.04.2022","06.10.2022",NA,NA,13,633.64686998899,152.307692307692,191.615384615385,173.488678224246,39.3076923076923,4,56.5,68,260,0,27.5,0,95.8387721654472,0,0,0,0,0,0,0,0,14,0,0,0,12.5,67.3080978235431,0,0,0,5,0,9,9,0,0,0,5
"6",550,"cal","cam25","alpine","0",2001,756290,195000,9.48949,46.88773,338,"n",-4,20,12,335,"27.04.2022","06.10.2022",NA,NA,12,877.808097823543,146.916666666667,195,166.929131856187,48.0833333333333,86.5,11.3080978235431,21,475,0,27,0,40.5,0,0,0,7,0,0,0,0,0,0,0,0,9,71.5,0,0,0,0,0,58.5,13,0,0,0,57.5
"7",548,"cal","cam27","alpine","0",1997,756290,195000,9.48949,46.88773,215,"sw",-10,7,7,397,"27.04.2022","06.10.2022",NA,NA,11,1432.45763774036,162.636363636364,210.363636363636,187.439993693155,47.7272727272727,21,94.3080978235431,107.5,435.274474744512,0,242.5,0,79,0,0,0,0,0,0,0,0,0,0,28,0,0,109.875065172303,0,0,0,0,180,0,78,0,0,0,57
"8",536,"nbo","cam3","open","0",1394,756447,192923,9.49084,46.86902,316,"nw",5,14,2,1562,"06.04.2022","06.10.2022","frame adjusted 27 April 2022","closer",7,668.241391163996,128.142857142857,175.142857142857,152.85068690188,47,0,22.5,0,0,12,0,0,599.433293340453,0,0,3,0,0,0,0,0,0,0,0,0,0,19.3080978235431,0,0,0,6,0,0,0,6,0,0,0
"9",537,"nbo","cam7","open","0",1402,756401,192941,9.49024,46.86919,126,"se",-5,15,0,925,"06.04.2022","06.10.2022",NA,NA,6,588.116195647086,127.833333333333,220.833333333333,164.714554454167,93,0,20.5,0,0,70,10.5,0,369.616195647086,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0
"10",535,"nbo","cam8","open","0",1405,756365,192870,9.48975,46.86856,255,"w",0,1,4,671,"06.04.2022","06.10.2022",NA,"flowers are small",8,204.808097823543,158.25,236.25,192.193648879201,78,0,30,4,9,0,10,0,70.308097823543,0,0,0,0,0,14,0,0,0,0,0,0,0,47.5,0,0,0,20,0,0,0,0,0,0,0
"11",538,"nbo","cam10","open","0",1397,756409,192903,9.49033,46.86885,20,"n",-5,0,11,1161,"06.04.2022","06.10.2022","frame adjusted 27 April 2022","closer",5,421.10439460583,137.2,218.4,172.156429091245,81.2,0,12.5,0,0,88,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,46.6043946058302
"12",545,"nbo","cam11","canopy","> 90",1436,756313,193023,9.48912,46.86995,325,"nw",0,40,4,154,"06.04.2022","06.10.2022",NA,"ideal",8,321.351339790247,139.75,213.625,178.59656385628,73.875,0,0,43.6875325861517,20,0,109.905648955925,0,44,9,0,0,80.7581582481708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0
"13",534,"nbo","cam14","open","0",1402,756260,192834,9.48836,46.86826,335,"nw",15,10,21,524,"06.04.2022","06.10.2022","frame adjusted 12 April 2022",NA,5,139,168.2,206.2,185.589577845323,38,0,70.5,0,0,52.5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
