"","Difference","camera","Species","value1","DOY1","value2","DOY2","value3","DOY3","value4","DOY4","AbundanceEarly","AbundanceLate","EarlySlope","LateSlope","EarlySlopeSTD","LateSlopeSTD","GaussianDOYEarly","GaussianDOYLate","Position","derivative","RelativeAbundance","DOY","FloweringPhotoStart","FloweringPhotoEnd","RelativeAbundanceX","PredictedAbundance"
"1",0,"cam29","Silene_vulgaris",1,176,1,178,1,178,1,181,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,171,45,68,0.0497870683678639,0.0497870683678639
"2",0,"cam13","Crocus_albiflorus",4,122,4,123,2,273,32,274,4,32,0,30,0,0.9375,5,3,"DOYE5",NA,0.00876415024678427,117,5,5,0.0497870683678639,0.199148273471456
"3",0,"cam34","Trifolium_badium",1,174,1,178,1,174,1,178,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,169,43,101,0.0497870683678639,0.0497870683678639
"4",0,"cam22","Alchemilla_conjuncta",1,111,1,112,1,272,1,274,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,106,9,5,0.0497870683678639,0.0497870683678639
"5",0,"cam16","Taraxacum_officinale",1,202,1,203,1,259,1,262,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,197,99,17,0.0497870683678639,0.0497870683678639
"6",0,"cam21","Ranunculus_montanus",1,118,1,119,1,167,1,171,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,113,1,108,0.0497870683678639,0.0497870683678639
"7",0,"cam30","Ranunculus_montanus",2,135,8,136,1,199,1,200,2,1,6,0,3,0,3,5,"DOYE3",NA,0.00876415024678427,132,4,48,0.135335283236613,0.270670566473225
"8",0,"cam37","Plantago_media",1,190,1,195,1,197,1,202,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,185,59,77,0.0497870683678639,0.0497870683678639
"9",0,"cam29","Hepatica_nobilis",1,210,1,212,1,241,1,246,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,205,79,3,0.0497870683678639,0.0497870683678639
"10",0,"cam37","Viola_biflora",1,188,1,201,1,188,1,201,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,183,57,78,0.0497870683678639,0.0497870683678639
"11",0,"cam18","Alchemilla_xanthochlora",1,177,1,178,1,268,1,269,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,172,38,11,0.0497870683678639,0.0497870683678639
"12",0,"cam38","Gentianella_sp",2,140,1,141,1,155,1,156,2,1,-1,0,-0.5,0,7,5,"DOYE7",NA,0.00876415024678427,133,9,123,0.0439369336234074,0.0878738672468148
"13",0,"cam5","Alchemilla_xanthochlora",1,248,1,250,1,269,2,276,1,2,0,0.142857142857143,0,0.0714285714285714,5,3,"DOYE5",NA,0.00876415024678427,243,117,3,0.0497870683678639,0.0497870683678639
"14",0,"cam21","Viola_sp",1,138,1,140,1,138,1,140,1,1,0,0,0,0,5,5,"DOYE5",NA,0.00876415024678427,133,21,139,0.0497870683678639,0.0497870683678639
"15",0,"cam23","Ranunculus_montanus",21,118,10,119,1,141,1,142,21,1,-11,0,-0.523809523809524,0,7,5,"DOYE7",NA,0.00876415024678427,111,0,137,0.0439369336234074,0.922675606091556
