"","camera","DOY","Achillea_millefolium","Alchemilla_conjuncta","Alchemilla_xanthochlora","Anthyllis_vulneraria","Bellis_perennis","Campanula_scheuchzeri","Carlina_acaulis","Crocus_albiflorus","Euphrasia_minima","Gentianella_sp","Helianthemum_nummularium","Hepatica_nobilis","Hippocrepis_comosa","Leontodon_hispidus","Lotus_alpinus","Lotus_sp","Pedicularis_verticillata","Plantago_lanceolata","Plantago_media","Potentilla_aurea","Primula_sp","Ranunculus_montanus","Salvia_pratensis","Silene_vulgaris","Soldanella_alpina","Taraxacum_officinale","Trifolium_badium","Trifolium_montanum","Trifolium_pratense","Trollius_europaeus","Viola_biflora","Viola_calcarata","Viola_sp","habitat","elev_m","canopy_cov"
"1","cam10",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"open",1397,"0"
"2","cam10",88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"open",1397,"0"
"3","cam10",89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"open",1397,"0"
"4","cam10",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"open",1397,"0"
"5","cam10",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"open",1397,"0"
"6","cam10",92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"open",1397,"0"
"7","cam10",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"open",1397,"0"
"8","cam10",94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"open",1397,"0"
"9","cam10",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"open",1397,"0"
"10","cam10",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"open",1397,"0"
"11","cam10",97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"open",1397,"0"
"12","cam10",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"open",1397,"0"
"13","cam10",99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"open",1397,"0"
