Camera,cam13,cam18,cam2,cam21,cam25,cam27,cam9,Total,cam31,cam32,cam33,cam34,cam36,cam37,cam5,Total,cam15,cam28,cam29,cam30,cam35,cam38,cam6,Total,cam11,cam17,cam19,cam20,cam22,cam24,cam26,Total,cam10,cam14,cam16,cam23,cam3,cam7,cam8,Total,Total,Species
Habitat,above tree line,above tree line,above tree line,above tree line,above tree line,above tree line,above tree line,above tree line,at tree line,at tree line,at tree line,at tree line,at tree line,at tree line,at tree line,at tree line,at tree line,at tree line,at tree line,at tree line,at tree line,at tree line,at tree line,at tree line,below tree line,below tree line,below tree line,below tree line,below tree line,below tree line,below tree line,below tree line,below tree line,below tree line,below tree line,below tree line,below tree line,below tree line,below tree line,below tree line,,
Canopy,open,open,open,open,open,open,open,open,canopy,canopy,canopy,canopy,canopy,canopy,canopy,canopy,open,open,open,open,open,open,open,open,canopy,canopy,canopy,canopy,canopy,canopy,canopy,canopy,open,open,open,open,open,open,open,open,,
Achillea millefolium,7,12,22,4,87,21,0,152,9,0,8,0,3,6,0,26,0,0,10,0,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,Achillea millefolium
Alchemilla conjuncta,69,10,9,57,11,94,180,430,91,157,54,103,12,12,135,562,41,6,256,301,0,53,364,1020,0,0,27,22,114,0,62,224,13,71,7,25,23,21,30,188,2425,Alchemilla conjuncta
Alchemilla xanthochlora,273,87,69,68,21,108,18,643,6,11,14,0,12,97,32,172,41,25,97,0,0,54,0,216,44,3,8,0,10,0,0,65,0,0,0,0,0,0,4,4,1100,Alchemilla xanthochlora
Anthyllis vulneraria,130,33,50,260,475,435,7,1389,0,18,53,22,8,69,5,174,11,8,0,28,0,129,198,373,20,0,3,15,87,34,20,178,0,0,15,0,0,0,9,24,2139,Anthyllis vulneraria
Bellis perennis,0,0,45,0,0,0,0,45,0,0,0,12,0,0,0,12,0,0,0,0,46,0,0,46,0,0,0,0,0,0,0,0,88,53,0,5,12,70,0,228,331,Bellis perennis
Campanula scheuchzeri,17,43,64,28,27,243,34,455,27,64,25,57,46,21,0,239,37,27,26,16,31,134,128,399,110,0,0,7,0,18,0,135,0,0,9,10,0,11,10,40,1266,Campanula scheuchzeri
Carlina acaulis,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Carlina acaulis
Crocus albiflorus,616,0,104,96,41,79,79,1014,0,0,27,0,57,41,20,146,0,339,278,28,627,53,102,1427,44,0,39,89,255,0,91,518,83,6,155,34,599,370,70,1317,4422,Crocus albiflorus
