"","waypoint","site","camera","habitat","canopy_cov","elev_m.x","sui_top","sui_bottom","lon","lat","face_num","face_dir","camera angle","incline parallel","incline perpendicular","distance to quadrat_cm","deploy date","removal date","notes","aji_note","elev_m.y","Achillea_millefolium.x","Alchemilla_conjuncta.x","Alchemilla_xanthochlora.x","Anthyllis_vulneraria.x","Bellis_perennis.x","Campanula_scheuchzeri.x","Carlina_acaulis.x","Crocus_albiflorus.x","Euphrasia_minima.x","Gentianella_sp.x","Helianthemum_nummularium.x","Hepatica_nobilis.x","Hippocrepis_comosa.x","Leontodon_hispidus.x","Lotus_alpinus.x","Lotus_sp.x","Pedicularis_verticillata.x","Plantago_lanceolata.x","Plantago_media.x","Potentilla_aurea.x","Primula_sp.x","Ranunculus_montanus.x","Salvia_pratensis.x","Silene_vulgaris.x","Soldanella_alpina.x","Taraxacum_officinale.x","Trifolium_badium.x","Trifolium_montanum.x","Trifolium_pratense.x","Trollius_europaeus.x","Viola_biflora.x","Viola_calcarata.x","Viola_sp.x","elev_m.x.x","Achillea_millefolium.y","Alchemilla_conjuncta.y","Alchemilla_xanthochlora.y","Anthyllis_vulneraria.y","Bellis_perennis.y","Campanula_scheuchzeri.y","Carlina_acaulis.y","Crocus_albiflorus.y","Euphrasia_minima.y","Gentianella_sp.y","Helianthemum_nummularium.y","Hepatica_nobilis.y","Hippocrepis_comosa.y","Leontodon_hispidus.y","Lotus_alpinus.y","Lotus_sp.y","Pedicularis_verticillata.y","Plantago_lanceolata.y","Plantago_media.y","Potentilla_aurea.y","Primula_sp.y","Ranunculus_montanus.y","Salvia_pratensis.y","Silene_vulgaris.y","Soldanella_alpina.y","Taraxacum_officinale.y","Trifolium_badium.y","Trifolium_montanum.y","Trifolium_pratense.y","Trollius_europaeus.y","Viola_biflora.y","Viola_calcarata.y","Viola_sp.y","elev_m.y.y","Achillea_millefolium.x.x","Alchemilla_conjuncta.x.x","Alchemilla_xanthochlora.x.x","Anthyllis_vulneraria.x.x","Bellis_perennis.x.x","Campanula_scheuchzeri.x.x","Carlina_acaulis.x.x","Crocus_albiflorus.x.x","Euphrasia_minima.x.x","Gentianella_sp.x.x","Helianthemum_nummularium.x.x","Hepatica_nobilis.x.x","Hippocrepis_comosa.x.x","Leontodon_hispidus.x.x","Lotus_alpinus.x.x","Lotus_sp.x.x","Pedicularis_verticillata.x.x","Plantago_lanceolata.x.x","Plantago_media.x.x","Potentilla_aurea.x.x","Primula_sp.x.x","Ranunculus_montanus.x.x","Salvia_pratensis.x.x","Silene_vulgaris.x.x","Soldanella_alpina.x.x","Taraxacum_officinale.x.x","Trifolium_badium.x.x","Trifolium_montanum.x.x","Trifolium_pratense.x.x","Trollius_europaeus.x.x","Viola_biflora.x.x","Viola_calcarata.x.x","Viola_sp.x.x","elev_m","Achillea_millefolium.y.y","Alchemilla_conjuncta.y.y","Alchemilla_xanthochlora.y.y","Anthyllis_vulneraria.y.y","Bellis_perennis.y.y","Campanula_scheuchzeri.y.y","Carlina_acaulis.y.y","Crocus_albiflorus.y.y","Euphrasia_minima.y.y","Gentianella_sp.y.y","Helianthemum_nummularium.y.y","Hepatica_nobilis.y.y","Hippocrepis_comosa.y.y","Leontodon_hispidus.y.y","Lotus_alpinus.y.y","Lotus_sp.y.y","Pedicularis_verticillata.y.y","Plantago_lanceolata.y.y","Plantago_media.y.y","Potentilla_aurea.y.y","Primula_sp.y.y","Ranunculus_montanus.y.y","Salvia_pratensis.y.y","Silene_vulgaris.y.y","Soldanella_alpina.y.y","Taraxacum_officinale.y.y","Trifolium_badium.y.y","Trifolium_montanum.y.y","Trifolium_pratense.y.y","Trollius_europaeus.y.y","Viola_biflora.y.y","Viola_calcarata.y.y","Viola_sp.y.y"
"1",551,"above treeline","cam2","open","0",1999,756290,195000,9.48949,46.88773,345,"n",5,24,15,427,"27.04.2022","06.10.2022",NA,NA,1999,190.255813953488,118.791713351054,203.588807785888,160.057239057239,188.407407407407,152.690104166667,NA,160.817088104866,NA,NA,NA,134.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.404166666667,NA,NA,NA,185,NA,NA,144,NA,NA,NA,143.378947368421,1999,180,110,154,146,178,124,NA,112,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,181,NA,NA,142,NA,NA,NA,134,1999,200,124,248,174,197,223,NA,270,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,189,NA,NA,146,NA,NA,NA,155,1999,20,14,94,28,19,99,NA,158,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,8,NA,NA,4,NA,NA,NA,21
"2",552,"above treeline","cam9","open","0",1976,756290,195000,9.48949,46.88773,195,"s",-10,12,15,420,"27.04.2022","06.10.2022",NA,NA,1976,NA,178.235840297122,162.296296296296,167,NA,180.323383084577,NA,129.189873417721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.156862745098,NA,NA,NA,NA,158.5,154.5,185.301075268817,NA,NA,NA,206.190476190476,1976,NA,137,145,163,NA,149,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,156,152,155,NA,NA,NA,201,1976,NA,204,170,171,NA,211,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,161,157,198,NA,NA,NA,211,1976,NA,67,25,8,NA,62,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,5,5,43,NA,NA,NA,10
"3",553,"above treeline","cam13","open","0",1968,756290,195000,9.48949,46.88773,265,"w",4,10,0,290,"27.04.2022","06.10.2022",NA,NA,1968,138,168.355072463768,216.591470152406,168.63963963964,NA,149.078431372549,NA,165.937770562771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.848484848485,NA,NA,NA,154.363636363636,172.5,NA,NA,NA,NA,NA,150.577777777778,1968,134,139,142,141,NA,138,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,144,168,NA,NA,NA,NA,NA,145,1968,142,198,283,190,NA,157,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,162,177,NA,NA,NA,NA,NA,158,1968,8,59,141,49,NA,19,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,18,9,NA,NA,NA,NA,NA,13
"4",549,"above treeline","cam18","open","0",1996,756290,195000,9.48949,46.88773,27,"ne",-10,0,0,543,"27.04.2022","06.10.2022",NA,NA,1996,191.5,181.333333333333,216.141762452107,158.758974358974,NA,197.46511627907,NA,NA,157.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA,NA,159.939319287529,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,142.124943699038,1996,185,179,175,147,NA,154,NA,NA,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,NA,NA,134,NA,NA,NA,168,NA,NA,NA,NA,NA,NA,130,1996,198,185,271,174,NA,218,NA,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,176,NA,NA,NA,175,NA,NA,NA,NA,NA,NA,158,1996,13,6,96,27,NA,64,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,42,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,28
"5",547,"above treeline","cam21","open","0",1953,756280,194993,9.48936,46.88767,257,"w",0,0,0,415,"27.04.2022","06.10.2022",NA,NA,1953,199.5,184.560471976401,213.200980392157,161.384615384615,NA,159.933333333333,NA,217.744228534115,NA,NA,NA,NA,NA,NA,NA,NA,163.928571428571,NA,NA,NA,139.813333333333,151.25024549563,NA,NA,NA,189,NA,158,178.037037037037,NA,NA,NA,139,1953,197,173,183,135,NA,129,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,157,NA,NA,NA,135,111,NA,NA,NA,186,NA,156,174,NA,NA,NA,136,1953,202,197,259,190,NA,206,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,143,173,NA,NA,NA,192,NA,160,181,NA,NA,NA,142,1953,5,24,76,55,NA,77,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,8,62,NA,NA,NA,6,NA,4,7,NA,NA,NA,6
"6",550,"above treeline","cam25","open","0",2001,756290,195000,9.48949,46.88773,338,"n",-4,20,12,335,"27.04.2022","06.10.2022",NA,NA,2001,218.705202312139,120.005416251011,228.365079365079,159.896140350877,NA,146.296296296296,NA,204.444444444444,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,139.111111111111,152.657342657343,NA,NA,NA,NA,NA,182.019943019943,184.538461538462,NA,NA,NA,139.110144927536,2001,169,111,164,138,NA,128,NA,177,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,135,137,NA,NA,NA,NA,NA,170,179,NA,NA,NA,131,2001,268,126,255,229,NA,180,NA,275,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,143,197,NA,NA,NA,NA,NA,197,190,NA,NA,NA,148,2001,99,15,91,91,NA,52,NA,98,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,8,60,NA,NA,NA,NA,NA,27,11,NA,NA,NA,17
"7",548,"above treeline","cam27","open","0",1997,756290,195000,9.48949,46.88773,215,"sw",-10,7,7,397,"27.04.2022","06.10.2022",NA,NA,1997,183.587301587302,189.032559959948,200.68992248062,165.943788474536,NA,203.307903780069,NA,177.160337552743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.654761904762,NA,NA,172.503338390497,NA,NA,NA,NA,189.946296296296,NA,185.089743589744,NA,NA,NA,198.923976608187,1997,153,140,157,138,NA,177,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,NA,142,NA,NA,NA,NA,168,NA,173,NA,NA,NA,192,1997,208,208,232,207,NA,239,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,205,NA,NA,NA,NA,217,NA,200,NA,NA,NA,207,1997,55,68,75,69,NA,62,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,63,NA,NA,NA,NA,49,NA,27,NA,NA,NA,15
"8",536,"below treeline","cam3","open","0",1394,756447,192923,9.49084,46.86902,316,"nw",5,14,2,1562,"06.04.2022","06.10.2022","frame adjusted 27 April 2022","closer",1394,NA,192.785185185185,NA,NA,128.5,NA,NA,224.667691856469,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.390820160396,NA,NA,NA,134.5,NA,NA,NA,126.111111111111,NA,NA,NA,1394,NA,163,NA,NA,122,NA,NA,111,NA,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,131,NA,NA,NA,124,NA,NA,NA,1394,NA,267,NA,NA,135,NA,NA,283,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,138,NA,NA,NA,129,NA,NA,NA,1394,NA,104,NA,NA,13,NA,NA,172,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,7,NA,NA,NA,5,NA,NA,NA
"9",537,"below treeline","cam7","open","0",1402,756401,192941,9.49024,46.86919,126,"se",-5,15,0,925,"06.04.2022","06.10.2022",NA,NA,1402,NA,178.130081300813,NA,NA,158.752380952381,132.444444444444,NA,192.066658170429,151.816091954023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.077669902913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1402,NA,141,NA,NA,104,129,NA,99,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1402,NA,219,NA,NA,262,137,NA,285,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1402,NA,78,NA,NA,158,8,NA,186,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",535,"below treeline","cam8","open","0",1405,756365,192870,9.48975,46.86856,255,"w",0,1,4,671,"06.04.2022","06.10.2022",NA,"flowers are small",1405,NA,189.9,238.5,235,NA,186.5,NA,193.707837650149,NA,NA,NA,NA,NA,166.02380952381,NA,NA,NA,NA,NA,NA,NA,177.550877192982,NA,NA,NA,150.366666666667,NA,NA,NA,NA,NA,NA,NA,1405,NA,142,236,230,NA,181,NA,90,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,1405,NA,264,241,240,NA,192,NA,270,NA,NA,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,248,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,1405,NA,122,5,10,NA,11,NA,180,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA
