"","cam2","cam9","cam13","cam18","cam21","cam25","cam27","cam5","cam31","cam32","cam33","cam34","cam36","cam37","cam6","cam15","cam28","cam29","cam30","cam35","cam38","cam11","cam17","cam19","cam20","cam22","cam24","cam26","cam3","cam7","cam8","cam10","cam14","cam16","cam23"
"cam2",0,0.607272727272727,0.698942229454841,0.505494505494505,0.535269709543568,0.654526534859521,0.649034424853065,0.915074309978769,0.917710196779964,0.914691943127962,0.719298245614035,0.719546742209632,0.597122302158273,0.563731931668857,0.701726844583987,0.824800910125142,0.763671875,0.831208257437766,0.912220309810671,0.752281616688396,0.555555555555556,0.541484716157205,0.949843260188088,0.822966507177033,0.753363228699552,0.647254575707155,0.860724233983287,0.706349206349206,0.800249687890137,0.722627737226277,0.671018276762402,0.654929577464789,0.808219178082192,0.607594936708861,0.889101338432122
"cam9",0.607272727272727,0,0.765690376569038,0.82421875,0.642960812772134,0.851132686084142,0.778738115816768,0.759911894273128,0.861623616236162,0.799274486094317,0.709949409780776,0.717261904761905,0.681462140992167,0.782668500687758,0.648387096774194,0.86508875739645,0.775757575757576,0.704897706137632,0.716312056737589,0.762619372442019,0.735135135135135,0.740566037735849,0.957894736842105,0.770833333333333,0.733009708737864,0.502645502645503,0.92,0.676595744680851,0.767926988265971,0.741935483870968,0.667621776504298,0.805243445692884,0.758308157099698,0.595454545454545,0.899209486166008
"cam13",0.698942229454841,0.765690376569038,0,0.793450881612091,0.633040935672515,0.759651307596513,0.693899782135076,0.892879647132955,0.909245604083948,0.922846120874411,0.812893081761006,0.85640266469282,0.836158192090395,0.762446657183499,0.74048983845753,0.880577427821522,0.554224086279209,0.663176265270506,0.894853348090758,0.358356940509915,0.682875264270613,0.878513145965549,0.987551867219917,0.917215428033866,0.893675527039413,0.648475120385233,0.962151394422311,0.798085291557876,0.307053941908714,0.6,0.852140077821012,0.859851607584501,0.926732673267327,0.762287756925827,0.900650502661147
"cam18",0.505494505494505,0.82421875,0.793450881612091,0,0.713868613138686,0.763813651137595,0.68256721595837,0.694690265486726,0.72037037037037,0.791515151515152,0.368421052631579,0.422155688622754,0.519788918205805,0.363762102351314,0.686084142394822,0.564803804994055,0.677484787018256,0.768800497203232,0.738434163701068,0.96159122085048,0.453804347826087,0.666666666666667,0.95729537366548,0.91578947368421,0.906862745098039,0.900532859680284,0.856697819314642,0.759656652360515,0.963302752293578,0.972179289026275,0.785507246376812,0.452830188679245,0.951070336391437,0.862385321100917,0.73015873015873
"cam21",0.535269709543568,0.642960812772134,0.633040935672515,0.713868613138686,0,0.385454545454545,0.407518796992481,0.876040703052729,0.879077167859984,0.906951286261631,0.715404699738903,0.820118343195266,0.744604316546763,0.682222222222222,0.603680113234253,0.850687622789784,0.833190025795357,0.827547592385218,0.875480399692544,0.863134657836645,0.529025191675794,0.73534338358459,0.973799126637555,0.842010771992819,0.801709401709402,0.689189189189189,0.907630522088353,0.692068429237947,0.859574468085106,0.856796116504854,0.716475095785441,0.827439886845827,0.857142857142857,0.755301794453507,0.890295358649789
"cam25",0.654526534859521,0.851132686084142,0.759651307596513,0.763813651137595,0.385454545454545,0,0.396683673469388,0.910538286580743,0.906354515050167,0.909927360774818,0.790836653386454,0.833795013850416,0.748110831234257,0.713532513181019,0.680193821926105,0.88375796178344,0.868665239114918,0.905138339920949,0.906432748538012,0.933566433566434,0.617723718505647,0.858682634730539,0.977011494252874,0.90440251572327,0.8955042527339,0.865030674846626,0.932065217391304,0.81838819523269,0.942275042444822,0.945386064030132,0.852631578947368,0.828571428571429,0.973045822102426,0.882491186839013,0.901616303583977
"cam27",0.649034424853065,0.778738115816768,0.693899782135076,0.68256721595837,0.407518796992481,0.396683673469388,0,0.850225952227243,0.851594202898551,0.85359477124183,0.719611021069692,0.73952779893374,0.78125,0.644736842105263,0.574694311536417,0.830417227456258,0.846719803801349,0.815439219165927,0.853024307518372,0.933042212518195,0.459811730629978,0.80093896713615,0.987041036717063,0.914146341463415,0.897435897435897,0.817880794701987,0.952380952380952,0.792979297929793,0.931818181818182,0.93343653250774,0.854545454545454,0.80936170212766,0.917695473251029,0.894542090656799,0.877797943133696
"cam5",0.915074309978769,0.759911894273128,0.892879647132955,0.694690265486726,0.876040703052729,0.910538286580743,0.850225952227243,0,0.211382113821138,0.387096774193548,0.557360406091371,0.394736842105263,0.824516129032258,0.587131367292225,0.593137254901961,0.154405820533549,0.468885672937771,0.365586034912718,0.172368421052632,0.985777777777778,0.736749116607774,0.958333333333333,0.982274741506647,0.920103092783505,0.937810945273632,0.822732012513034,0.9860529986053,0.819025522041763,0.958584987057808,0.963566634707574,0.875843454790823,0.60475161987041,0.894882434301521,0.9375,0.743589743589744
"cam31",0.917710196779964,0.861623616236162,0.909245604083948,0.72037037037037,0.879077167859984,0.906354515050167,0.851594202898551,0.211382113821138,0,0.263726372637264,0.595176571920758,0.485483870967742,0.842271293375394,0.626254826254826,0.673672566371681,0.245576786978061,0.528883183568678,0.254470426409904,0.259433962264151,0.981552651806303,0.747706422018349,0.949596774193548,0.985932004689332,0.957983193277311,0.96530612244898,0.918942731277533,0.975363941769317,0.86897880539499,0.976029962546817,0.981952420016407,0.914940021810251,0.682395644283122,0.922135706340378,0.962301587301587,0.777215189873418
"cam32",0.914691943127962,0.799274486094317,0.922846120874411,0.791515151515152,0.906951286261631,0.909927360774818,0.85359477124183,0.387096774193548,0.263726372637264,0,0.703061813980358,0.592265193370166,0.89086127547666,0.721179624664879,0.662741799831791,0.439233484619264,0.640037593984962,0.304252998909487,0.363636363636364,0.98610368786745,0.778487752928647,0.930857874519846,0.987350667603654,0.965834428383706,0.967741935483871,0.908504398826979,0.969924812030075,0.901741293532338,0.982152230971129,0.987702627166015,0.932750504371217,0.79066985645933,0.952348536419333,0.964512040557668,0.83906976744186
